"city","id","host_is_superhost","host_since","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","extra_people","minimum_nights","maximum_nights","has_availability","number_of_reviews","review_scores_rating","review_scores_accuracy","cancellation_policy","reviews_per_month","zipcode","gdp","text","word_count","sd","ave_sentiment","doc_id","ADJ","ADP","ADV","AUX","CCONJ","DET","INTJ","NOUN","NUM","PART","PRON","PROPN","PUNCT","SCONJ","SYM","VERB","X"
"New York",5283248,FALSE,2013-07-31,14,TRUE,TRUE,"Harlem",TRUE,"Apartment","Private room",2,1,1,1,"Real Bed",65,2,50,2,1125,TRUE,92,97,10,"strict_14_with_grace_period",2.11,10037,65877818,"you are renting 1 bedroom in a 3 bedroom apartment.  it is a 3 bedroom 2 bathrooms separate kitchen and a 600 square foot gorgeous living room.  your room is big,  beautiful with a queen size platform bed,  glass table,  big closet.  you are renting 1 bedroom in a 3 bedroom apartment.  a beautiful bedroom in a 3 bedrooms apartment with a very large fashion gallery like living room.  our apartment takes the entire floor of the building,  meaning we have our own floor to ourselves.  the apartment has three bedrooms,  two bathrooms.  the big bedroom which will be yours has a beautiful queen size platform japanese bed,  with designer bed sheets,  computer table,  the bathroom for this room is outside of the bedroom,  right next to it.  air conditioning sideboard table the kitchen with cooking stoves,  microwave oven,  coffee maker.  toaster,  chrome silver refrigerator.   the bathrooms for this bedroom is shared with one other bedroom.  it is beautiful and clean with expensive designer shower curtains.  the bathr,tv, cable tv ,internet,wifi, air conditioning ,kitchen,heating,essentials,shampoo, lock on bedroom door ,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity49 , translation missing en.hostingamenity50 , hot water , bed linens ,microwave, coffee maker ,refrigerator, dishes and silverware , cooking basics ,oven,stove.",205,0.214494627354668,0.215130407906674,"doc11",22,17,4,9,3,21,0,100,13,0,13,0,50,1,0,10,0
"New York",11886376,FALSE,2016-10-31,2,TRUE,TRUE,"Civic Center",TRUE,"Apartment","Entire home/apt",5,1,2,2,"Real Bed",125,3,30,1,1125,TRUE,58,88,9,"strict_14_with_grace_period",2.2,10038,65877818,"i love this perfect two bedroom suite is located near two bridges,  south street seaport,  city hall park,  subways f, 4, 5, 6, z, m,  chatham park  5 points downtown.  youll love my place two large bedrooms with natural light,  comfy beds,  really quiet at night for the ultimate sleep.  located so close to transport and in the heart of the downtown manhattans two bridges area walking distance to hundreds of attractions.   my place is good for couples,  business travelers,  families with kids,  and groups.  two large bedrooms with clean sheets,  towels and everything youll need for a perfect visit.    the kitchen has everything plates,  silverware,  pots and pans youll need,  and all appliances youll need.  guests have access to everything in the suite im always available to share advice on visiting places,  assistance on transportation,  i will be constant on checking up everyone making sure your stay is going well    also please let me know if you need anything at all this is an amazing metropoli,tv,internet,wifi, air conditioning ,kitchen,heating, familykid friendly , smoke detector , carbon monoxide detector , first aid kit , safety card , fire extinguisher ,essentials,shampoo, lock on bedroom door , 24hour checkin ,hangers, hair dryer ,iron, laptop friendly workspace .",199,0.317069026350114,0.409606237508929,"doc12",20,17,8,10,5,9,2,83,10,2,13,0,46,3,0,21,1
"Queens",11593945,FALSE,2015-08-02,4,TRUE,TRUE,"Maspeth",TRUE,"Apartment","Private room",2,1,1,1,"Real Bed",45,1,10,1,1124,TRUE,27,96,10,"strict_14_with_grace_period",1.29,11378,25466516,"spend the night with your loved one in a beautiful,  comfortable room,  in queens border with williamsburg 3035 minutes away from union square with the l train.  there are 4 buses b57 and q39,  58,  59 within 13 minutes that take you to subways l,  m,  r the warm welcoming space gives you a homey feeling where you can enjoy your stay using a modern bathroom and kitchen or chill in the back patio.  bathroom,  kitchen,  nice spacious livingroom,  back patio im available for questions mainly in person or by text.  guests are responsible for keeping the common areas clean after themselves,  we dont provide daily maid service,  cleaning fee is for cleaning after their departure.  for guests staying longer term,  once a week we offer a linen change,  as per request and provide fresh supply of towels there are additional ones on the bathroom shelf and laundry basket  for used towels in the closet.   early checkin fee 15,tv,internet,wifi, air conditioning ,kitchen, paid parking off premises , free street parking ,heating, familykid friendly , smoke detector , carbon monoxide detector , fire extinguisher ,essentials,shampoo, lock on bedroom door ,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity49 , translation missing en.hostingamenity50 , private entrance , roomdarkening shades , hot water , bed linens , extra pillows and blankets ,microwave, coffee maker ,refrigerator, dishes and silverware , cooking basics ,oven,stove, luggage dropoff allowed , long term stays allowed .",227,0.198250649375286,0.260032044487765,"doc13",26,23,6,6,8,12,0,108,11,1,14,0,54,2,0,18,0
"New York",5233647,FALSE,2012-05-16,2,TRUE,TRUE,"Morningside Heights",FALSE,"Apartment","Entire home/apt",4,1,2,3,"Real Bed",105,1,45,4,10,TRUE,33,90,9,"strict_14_with_grace_period",0.78,10027,65877818,"clean,  spacious and comfortable rooms in cozy and charming apt.  well maintained building has a prewar charm to it.  ac and wifi.  best feature is location! just 2 blocks from the 1 train and buses to popular areas.  20 minutes to times square and easy access to main attractions.  great dining in the area with many choices,  sushi,  mexican,  pizza,  cuban,  starbucks,  etc.  markets,  bars,  parks and more.  very safe and quiet neighborhood.  upon arrival your host will provide trip advice and directions.  feel at home in this spacious and comfortable apartment in a safe neighborhood.  enjoy full privacy in a quiet and clean space,  conveniently located just steps from the 1 train and columbia university.  morningside heights is known for being home of important educational and cultural institutions,  which gives this area a trendy vibe to it.  common areas are large and well decorated to make your stay feel at home.   elevator building with card operated laundry in basement on quiet street.  wifi and ac.  ,tv,internet,wifi, air conditioning , wheelchair accessible ,kitchen,elevator, buzzerwireless intercom ,heating,washer,dryer, smoke detector , carbon monoxide detector ,essentials,shampoo, hair dryer , laptop friendly workspace , translation missing en.hostingamenity49 , translation missing en.hostingamenity50 , window guards , hot water , coffee maker ,refrigerator, dishes and silverware , cooking basics ,oven,stove, host greets you .",213,0.371882090634447,0.391847158403281,"doc14",38,20,7,5,15,9,0,90,6,1,9,0,54,1,0,14,2
"New York",24963160,FALSE,2018-09-18,2,TRUE,FALSE,"Hell's Kitchen",FALSE,"Apartment","Private room",2,1,1,1,"Real Bed",80,2,30,1,35,TRUE,2,100,10,"strict_14_with_grace_period",1.3,10019,65877818,"a hidden gem in the middle of the concrete jungle! this is a 2 bedroom apartment and i am renting only one bedroom.  i use the other bedroom for myself.  your bedroom is perfect for up to 4 people.  it has a queen bed in the room and i can add a sofa bed!  you will share the bathroom,  kitchen and living room with me only.  the perfect location for travelers looking for a comfy place to call their own for no matter how long they stay  2 bedroom apartment,  one separate bedroom for guests and i use the other bedroom! its a sunny and bright space with views of manhattans avenue of the billionaires!!! the apartment is equipped with a complete kitchen,  prepared to meet the needs of our guests,  including full cooker,  refrigerator,  microwave,  electric kettle,  coffee maker and a toaster   other utensils such as pots,  plates and cups are in the cupboard.  i provide you with comfortable pillows,  linens,  blankets and heater for the nights,  clean towels,  shampoo,  body lotion and soap for a revigo,tv,wifi, air conditioning ,kitchen, free street parking , hot tub ,heating,washer,dryer, smoke detector , carbon monoxide detector , first aid kit ,essentials,shampoo, lock on bedroom door ,hangers, hair dryer ,iron, laptop friendly workspace , hot water , bed linens , extra pillows and blankets ,microwave, coffee maker ,refrigerator,dishwasher, dishes and silverware , cooking basics ,stove.",228,0.207192074575928,0.135672020419638,"doc15",22,23,6,8,11,22,0,102,5,2,16,0,53,0,0,15,0
"New York",30557546,FALSE,2016-01-06,1,TRUE,FALSE,"Queens",TRUE,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",180,2,65,1,60,TRUE,4,100,10,"strict_14_with_grace_period",4,11101,65877818,"this is a private studio in a modern brand new luxury apartment only one train stop to manhattan there is a washing dryer machine chefs kitchen in the house, and manhattan 24hour security,  enjoy your stay with large closet and the club is a fivestory building.  the gymnasium,  basketball hall,  pool sauna and outdoor dog park,  park,  bbq grill.  awesome rooftop amenity is the best in the building i have seen.  2mins subway take two intersections with 7subway lines and multiple bus lines stationerm bdf take two intersections with 7 and nw7mins to manhattan 20mins to columbia circle  20 mins to nyu flushing, jfk lga are also very close you can enjoy your summer in newyork with comfy queen bed and your own modern bathroom and shower 24thbusiness center gym studio yoga room  sauna library and basketball court everything here is brand new clean  youll get 5 star airbnb experience with us i service the fastest and most expensive verizon wifi for you at the center of longisland city, near the wate,wifi, air conditioning ,pool,kitchen,gym,elevator, free street parking , hot tub ,washer,dryer, smoke detector , carbon monoxide detector , fire extinguisher ,essentials, lock on bedroom door ,hangers, laptop friendly workspace ,microwave,refrigerator,dishwasher, dishes and silverware , cooking basics ,oven, bbq grill , patio or balcony , garden or backyard , luggage dropoff allowed , long term stays allowed , stepfree access , stepfree access , stepfree access , stepfree access , host greets you , paid parking on premises , rollin shower .",241,0.60609925955481,0.510007282743352,"doc16",22,18,9,9,12,12,0,119,7,2,12,0,47,0,0,22,0
"New York",13381250,TRUE,2017-03-12,1,TRUE,TRUE,"Harlem",TRUE,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",150,2,10,4,1125,TRUE,17,96,10,"moderate",0.86,10027,65877818,"our place is charming with historic features and modern kitchen appliances.   rosalee stewart is a family place located in the rapidly changing multicultural section of harlem.   the block consists of brownstone buildings and the historic st.  aloysius church which has been designated a landmark.  there are many new restaurants,  bistros the majority of the buildings are owner occupied adding to neighborhood charm and stability the one bedroom apartment has been restored  including the original chair rails and other wooden details.   the decorative brick fire place is always inviting as well as the exposed brick in the living room kitchen as well as the bedroom  the oak wood floor are exquisite and the oriental rugs further makes you feel like you are right at home in a classic surrounding.  the modern kitchen has exposed brick open shelves and quarry tile counter tops as well as oak cabinets.  there is a flat screen tv in the living room and a smaller television in the bedroom.   we have wifi,tv, cable tv ,internet,wifi, air conditioning ,kitchen, indoor fireplace , buzzerwireless intercom ,heating, familykid friendly , smoke detector , carbon monoxide detector , fire extinguisher ,essentials, lock on bedroom door ,hangers, hair dryer ,iron, laptop friendly workspace , private entrance , hot water , bed linens , extra pillows and blankets ,microwave, coffee maker ,refrigerator,dishwasher, dishes and silverware , cooking basics ,oven,stove.",222,0.273387199897557,0.323337056225318,"doc17",30,16,10,11,9,21,0,98,1,0,7,0,40,1,0,18,0
"New York",10918511,FALSE,2015-08-03,1,TRUE,TRUE,"Upper West Side",TRUE,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",200,1,0,3,10,TRUE,15,97,10,"moderate",0.55,10023,65877818,"live like a local  in style! the luxury bldg is in a prime area two blocks from columbus circle.  take the elevator up to the apt with a private terrace which is rare in nyc!  the location is super convenient to the subway,  central park,  lincoln center  so many amazing restaurants! go a few blocks uptown  enjoy the uws or walk a few blocks down  enjoy the scene in hells kitchen.   when you return home from a busy day in the city,  relax  enjoy a glass of wine while sitting on the terrace!,tv, cable tv ,internet,wifi, air conditioning ,kitchen,doorman,elevator,heating, smoke detector , carbon monoxide detector ,essentials,shampoo, lock on bedroom door ,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity49 , translation missing en.hostingamenity50 , host greets you .",133,0.259157282738316,0.137880648116192,"doc18",15,15,7,3,1,16,0,58,3,0,3,0,30,1,0,10,0
"New York",26294347,FALSE,2016-11-13,4,TRUE,FALSE,"Midtown East",TRUE,"Condominium","Entire home/apt",2,1,1,1,"Real Bed",225,1,0,1,14,TRUE,1,100,8,"strict_14_with_grace_period",1,10017,65877818,"price is for studio suite, also have hotel room email for rates for hotel room  availability wyndham midtown 45 at new york city is a serene,  sophisticated oasis in the heart of manhattan.  located on 45th st between 2nd  3rd ave,  wyndham midtown 45 at nyc is within walking distance of many of nycs major attractions such as grand central station, park,  madison  5th ave.  it offers easy access to times square,   theater district,  the soho  tribecca neighborhoods  wall street.  wireless internet is free for up to 4 devices,  ideal for emails and basic web browsing.  for more streaming and surfing options on unlimited devices,  enhanced highspeed wireless internet is available for 9. 95 per day,  49. 95 for 610 days,  and 59. 95 for 1130 days.  valet parking is the only option offered by the resort to park your car during your stay.  the pernight cost is 55 for cars,  75 for suvs.  in and out privileges are available with an additional fee of 10 per reentrance.  suvs and other oversized ve,tv,wifi, air conditioning ,kitchen, free parking on premises ,gym,elevator,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector , fire extinguisher ,essentials,shampoo, lock on bedroom door ,hangers, hair dryer ,iron, laptop friendly workspace , self checkin , building staff , private entrance , hot water , luggage dropoff allowed , paid parking on premises .",210,0.234888114783234,0.284117708897405,"doc19",31,36,2,10,5,7,0,102,14,1,4,0,50,0,0,11,1
"New York",13749704,FALSE,2017-04-14,1,TRUE,FALSE,"Hamilton Heights",TRUE,"Apartment","Private room",2,1,1,1,"Real Bed",94,1,20,3,30,TRUE,2,100,10,"flexible",0.1,10031,65877818,"singles,  couples and all back grounds are welcome.  upper west side manhattan.  20 minutes from tourist areadowntown.   by riveverside,  great for individuals who enjoy an early walk enjoying the view of the river hudsonnew jersey view.,wifi, air conditioning ,kitchen,heating,washer,dryer, smoke detector , carbon monoxide detector , fire extinguisher , lock on bedroom door ,hangers, laptop friendly workspace , translation missing en.hostingamenity49 .",61,0.130920958420558,0.143579454026101,"doc20",8,5,0,1,1,4,0,36,2,0,1,0,19,0,0,4,0
"New York",23200052,FALSE,2016-04-19,11,TRUE,TRUE,"Bedford-Stuyvesant",FALSE,"House","Entire home/apt",4,1,2,2,"Real Bed",96,4,0,1,1125,TRUE,8,83,10,"moderate",2.26,11221,65877818,"10 mins to the j train and 30 mins to midtown manhattan.  half a block away from the bike.   location only 10 minutes walk to subway j and m line myrtle ave station.  j line runs through manhattan downtown areas and m line will take you to midtown and uptown.  under the subway lines is the broadway with numerous stores and restaurants.  the guests will have the following space in private private entrance  private hallways to each room and bathroom  private dining room includes 1 table,  4 chairs,  1 fridge,  1 microwave  private full bed bedroomsleeps two private queen bed bedroomsleeps two private bathroom.  guest will be given the lockbox code one day before the checkin day.  guest will be given the lockbox code one day before the checkin day.  guest can check themselves in easily in one minute.  located in the vibrant community of bedstuy,  the neighborhood offers a wide range of restaurants and cafes.  the historic brownstones and landmarks that surround the area are not only,wifi, air conditioning ,heating, smoke detector , carbon monoxide detector ,essentials,shampoo,hangers, hair dryer ,iron, laptop friendly workspace , self checkin , smart lock , private living room , private entrance , hot water .",190,0.115689231574283,0.0626628040248088,"doc21",18,15,5,9,8,18,0,87,13,2,4,3,31,0,0,15,0
"Queens",14220529,FALSE,2017-05-18,1,TRUE,FALSE,"Astoria",TRUE,"Apartment","Private room",2,1,1,1,"Real Bed",79,1,0,1,30,TRUE,4,100,10,"flexible",0.23,11102,25466516,"tranquil,  clean,  bright bedroom in a shared apartment in astoria.  two blocks from nw train,  easy 20 min to manhattan .  a stones throw from astoria park,  laundry,  24hour bodega,  some of the best greek restaurants in ny,  and of course,  starbucks! for a new york apartment,  we have an extraordinary amount of space! the common space is large and the kitchen are especially spacious.  the common spaces are all available to use kitchen and cooking utensils,  living room,  office with keyboard,  printer and desk,  as well as yoga mats.  our neighborhood is very international,  full of families,  airline employees,  students,  and actors.  we are known for having the best greek food in ny,  and several of those restaurants are walking distance! we are two blocks from the nw train to manhattan,  and the same distance to the m60 bus to la guardia airport.,tv,wifi, air conditioning ,kitchen,heating, smoke detector , carbon monoxide detector , fire extinguisher ,essentials, lock on bedroom door ,hangers, laptop friendly workspace , translation missing en.hostingamenity49 , translation missing en.hostingamenity50 , hot water ,other.",175,0.312265509969929,0.236709572927847,"doc22",22,17,7,7,7,14,0,76,6,3,4,0,44,1,0,12,0
