"city","id","host_is_superhost","host_since","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","extra_people","minimum_nights","maximum_nights","has_availability","number_of_reviews","review_scores_rating","review_scores_accuracy","cancellation_policy","reviews_per_month","gdp","text","word_count","sd","ave_sentiment","doc_id","ADJ","ADP","ADV","AUX","CCONJ","DET","INTJ","NOUN","NUM","PART","PRON","PROPN","PUNCT","SCONJ","SYM","VERB","X"
"New York",10744834,FALSE,2016-07-16,1,TRUE,TRUE,"Washington Heights",FALSE,"Apartment","Private room",2,1,1,1,"Real Bed",40,1,25,3,40,TRUE,3,100,9,"flexible",0.11,65877818,"beautiful 1br in a fully furnished 2br,  quiet and cozy washington heights apartment.   5 minute walk from the 1 train and grocery store.   5th floor walk up on the top floor with no one above you.   sweet couple in the other room.  friendly tuxedo cat that will be taken care of.   family friendly neighborhood.  lots of sunlight,  very quiet,  full kitchen kitchen,  living room,  bathroom,  bedroom available to help in any way needed! a wonderful grocery store right next to the 1 train a block and a half from the apt.   beautiful park at fort tryon just a 10 minute walk from the apt.   great food,  drink and saturday morning farmers market only 10 minutes from apt in inwood.  5 minute walk to the 1 train,tv,internet,wifi, air conditioning ,kitchen,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector , first aid kit , fire extinguisher , 24hour checkin ,hangers, hair dryer ,iron, laptop friendly workspace , host greets you .",152,0.174379971652634,0.361238438137935,"doc11",18,17,6,3,4,14,0,78,10,1,4,0,37,0,0,7,0
"New York",9344503,FALSE,2016-04-20,1,TRUE,FALSE,"Midtown East",TRUE,"Apartment","Private room",2,1,1,1,"Real Bed",98,1,35,3,1125,TRUE,73,96,10,"strict_14_with_grace_period",2.37,65877818,"located in midtown east,  this beautiful one bedroom apartment is at the heart of new york city.  you can enjoy a nice walk in central park,  then your afternoon shopping at the prominent 5th ave and an exquisite dinner at any of the nearby restaurants.  very close to central park,  rockefeller center,  the museum of modern art,  the met and much more.  the building has a doorman,  elevator and nearly every major subway line.  i have a partition in the living room and the bedroom is for the guest.,cable tv ,internet,wifi, air conditioning ,kitchen,doorman, pets live on this property ,cats,elevator,heating, smoke detector , carbon monoxide detector ,essentials, translation missing en.hostingamenity49 , translation missing en.hostingamenity50 .",119,0.299955363141564,0.259959542584283,"doc12",15,12,6,3,4,17,0,51,3,0,3,0,26,0,0,5,0
"Queens",5918565,FALSE,2015-08-02,1,TRUE,FALSE,"Sunnyside",TRUE,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",150,1,0,3,1125,TRUE,2,100,10,"strict_14_with_grace_period",0.05,25466516,"large comfortable apartment in sunnyside queens,  ny.  perfect location for those wanting both to attend the us open and see nyc.  2 blocks from the bliss st stop on 7 train,  then 13 mins to us open and mets stadium,  and 15 minutes to times sqaure.  large one bedroom apartment on 3rd floor of an elevator building with a comfy queen size bed.  i also have a deluxe airbed,  so apartment can accommodate up to 4 people.  two ac units  and 2 window fans as well as a ceiling fan over the bed give you a choice of ways to stay cool.  full bath with tub and rain shower head.  fully equipped kitchen with stove,  toaster oven,  microwave,  and dishwasher.   large living roomdining room with ample comfortable seating,  jumbo hd tv with full cable package and netflix,  and free wifi.  laundry facilities on 1st floor of building i will be available via text or phone call,  should you have any questions during your stay.  sunnyside is a very safe neighborhood in queens,  ny just a few blocks from long island city,  li,tv, cable tv ,internet,wifi, air conditioning ,kitchen,elevator, buzzerwireless intercom ,heating,washer,dryer, smoke detector , carbon monoxide detector , fire extinguisher ,essentials,shampoo.",199,0.170099129211109,0.197093314082501,"doc13",23,24,9,5,9,11,0,89,8,2,8,0,38,0,1,15,0
"New York",18960133,FALSE,2018-02-22,1,TRUE,FALSE,"Lower East Side",FALSE,"Apartment","Entire home/apt",8,2,3,4,"Real Bed",549,1,0,2,1125,TRUE,45,92,9,"strict_14_with_grace_period",4.21,65877818,"you wont find a better home base to explore new york than this luxurious floor through apartment in the vibrant center of the lower east side.  step outside and immerse yourself in the best nightlife and restaurant scene that nyc has to offer.  with 3 bedrooms,  2 full bathrooms,  and an outdoor deck,  this spacious sanctuary has recently been fully renovated.  perfect for families and larger groups of people looking for roomy accommodations in a great location during their trip to the big apple.  the living room filled with natural light and contemporary furnishings.  there is a large sectional couch that can easily seat 4 adults.  the couch also pulls out into a queensized bed with sheets,  pillows and blankets available for guests to use.  there is a 50 smart tv equipped with cable for your entertainment.  the kitchen equipped with a stove,  oven,  fridge,  microwave,  dishwasher and coffee brewer,  all available for your use.  the cabinets are stocked with dishes,  glassware,  silverware and cook,tv, cable tv ,wifi, air conditioning ,kitchen, paid parking off premises , free street parking ,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector , first aid kit , fire extinguisher ,essentials,shampoo, lock on bedroom door ,hangers, hair dryer ,iron, laptop friendly workspace , self checkin ,lockbox, private living room , hot water , bed linens , extra pillows and blankets ,microwave, coffee maker ,refrigerator,dishwasher, dishes and silverware , cooking basics ,oven,stove, patio or balcony , long term stays allowed .",236,0.158834012739609,0.292897312603966,"doc14",28,23,6,5,11,18,0,113,4,4,9,0,59,0,0,20,0
"New York",1633546,FALSE,2013-07-02,20,TRUE,TRUE,"Chelsea",TRUE,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",99,2,25,50,365,TRUE,36,85,9,"strict_14_with_grace_period",0.56,65877818,"having a washerdryer in your 2nd floor apartment is very helpful! being around the corner from madison square garden,  long island railroad,  amtrak,  a, c and e subways, train to plane and macys also is very convenient ! high line only 2 blocks away.  this 2nd floor studio apartment,  2c,  is located on west 29th street between 8th and 9th avenues in the chelsea area of manhattan.  it is a private apartment,  not shared,  and the kitchette has a stove,  microwave and refrigerator as well as dishes,  utensils, pots and pans. there is a washerdryer in the closet! the apartment is close to the fashion institute of technology,  great restaurants, shopping and galleries.  it has intercom security,  free wifi and the super lives in the building.   the apartment has high ceilings,  hard wood floors,  and an unobstructed garden view with lots of light.  there is a queen size bed with clean linens,  table and chairs,  a flat screen tv,  a desk,  a closet and armoire.  a stroll on the high line is 2 blocks away and th,tv, cable tv ,internet,wifi, air conditioning ,kitchen, paid parking off premises , free street parking , buzzerwireless intercom ,heating,washer,dryer, smoke detector , carbon monoxide detector , safety card , fire extinguisher ,essentials,shampoo,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity49 , translation missing en.hostingamenity50 , self checkin ,lockbox, hot water , bed linens , extra pillows and blankets ,microwave, coffee maker ,refrigerator, dishes and silverware , cooking basics ,oven,stove, long term stays allowed .",246,0.214221094147848,0.152758702569943,"doc15",29,19,11,7,14,22,0,122,5,0,6,0,69,0,0,13,1
"New York",5434718,FALSE,2012-01-12,1,TRUE,TRUE,"Upper West Side",TRUE,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",165,3,25,3,4,TRUE,1,100,10,"flexible",0.05,65877818,"nestled in the heart of the uws.  quiet.  steps from central park.  conveniently close to 3 subway lines bc123.,tv,internet,wifi, air conditioning ,kitchen, pets live on this property ,dogs, smoke detector ,essentials.",33,0.119270129642543,0.12139172771217,"doc16",3,5,1,0,0,3,1,16,1,0,0,0,13,0,0,2,0
"New York",10164115,FALSE,2016-06-10,1,TRUE,TRUE,"Midtown",TRUE,"Apartment","Entire home/apt",2,1,0,0,"Real Bed",180,1,20,3,1125,TRUE,212,89,9,"strict_14_with_grace_period",6.86,65877818,"midtown studio apartment in the heart of nyc.  its located on very convenient street,  has everything that nyc has to offer! people who arent in the reservation cant enter the building.  if caught,  will get evicted and contacted by airbnb.  no deposit required the space is on 3rd floor in walkup.  it has been renovated not even a year ago,  very quiet and clean.  most of the nyc attractions are in walking distance! great restaurants and bars! accessible all time airbnb  text  email awesome neighborhood in nyc,  great for nyc sightseeing.  all the famous places are in walking distance.  train station is on same block one block to the yellow and orange trains,  it can take you anywhere you want go in nyc.  penn station is also on 34th street and 7th ave which is walking distance.  you can order any food or grocery for your stay.,tv,wifi, air conditioning ,kitchen, paid parking off premises ,heating, familykid friendly , smoke detector ,essentials,shampoo,hangers, hair dryer ,iron, laptop friendly workspace , hot water , long term stays allowed ,other.",177,0.232753193265799,0.221542536810106,"doc17",25,18,6,13,6,13,0,63,1,2,10,0,33,1,0,19,0
"New York",24525766,FALSE,2018-11-06,1,TRUE,FALSE,"Chelsea",FALSE,"Apartment","Entire home/apt",2,1,1,2,"Real Bed",220,3,25,2,1125,TRUE,1,100,10,"strict_14_with_grace_period",1,65877818,"clean,  elegant space with antique furnishings,  exposed brick,  stunning original fireplace,  and unique artistic beauty.  located in prime chelsea in a classic nyc second floor walk up building,  is this bright and super airy 1 bedroom gem! this apartment has tons of character beautiful exposed brick throughout,  lovely hardwood floors,  high ceilings and quality furnishings.  apartment includes air conditioner and wifi,   along with a kitchenette equipped w a fridge,  gas stovetop,  oven,  and essential.  guests can use any items they would like! none.  uptown affluence and downtown style come together in chelsea.  cuttingedge art galleries and gayfriendly bars mingle with soughtafter highrises and converted warehouses in this ultrafashionable,  and ultra busy,  neighborhood.  chelseas worldclass architecture,  fine dining establishments,  and hip nightlife scene contribute to its firstrate reputation.  laguardia airport 25 minutes by cab without traffic jfk airport 35 minutes by cab without,wifi, air conditioning ,kitchen,heating, smoke detector ,essentials,shampoo, laptop friendly workspace ,oven.",152,0.355326577651886,0.372172419294818,"doc18",24,16,3,3,10,6,0,73,3,0,5,0,34,0,0,10,2
"New York",10359692,TRUE,2013-08-20,3,TRUE,FALSE,"Washington Heights",FALSE,"Apartment","Private room",2,1,1,1,"Real Bed",50,1,15,3,1125,TRUE,35,93,9,"strict_14_with_grace_period",1.62,65877818,"nice and cozy modern apartment in manhattan,  ny,  located next to high bridge park and only 5 minutes walking distance away from the subway stations a,  c and 1 trains.  feel at home in a spacious private room that has all the necessities and more.  private comfortable lockable room,  shared kitchen and bathroom.  available via text or email anytime the apartment is located in beautiful and safe neighborhood of washington hights.  there are parks,  bars and restaurants around.  we have a free public swimming pool just across the street which is open during the summer.  a lot of families and students live in the neighborhood.  only 5 minutes walking distance to a express train,  which brings you to times square in under 20 min.  very convenient for tourists.  trains work all night.  there are 3 rooms in the apartment,  all occupied by tenants.  we do not have a separate living room area,  but a nice kitchen with a table to eat and all necessities for cooking is available.  everybody is nice and friendly,internet,wifi,kitchen, paid parking off premises , pets allowed , free street parking ,heating, smoke detector , carbon monoxide detector ,essentials,shampoo, lock on bedroom door , 24hour checkin ,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity49 , hot water ,other.",208,0.292223814027522,0.351540270131597,"doc19",31,23,7,5,12,19,0,80,7,2,9,0,40,0,0,18,0
"New York",7565977,FALSE,2014-12-24,2,TRUE,TRUE,"Upper West Side",TRUE,"Apartment","Private room",2,1,1,2,"Real Bed",229,1,25,1,1125,TRUE,9,100,10,"strict_14_with_grace_period",0.24,65877818,"private room on upper level of duplex in the center of lincoln center! right next to central park.  you have your own place to yourself. . .  however i do come upstairs to use the showerkitchen or may have another rented guest staying downstairs at the time.  you basically have your own apartment.  you are on the top floor of my duplex with a private bedroom with queen sized bed plus pullout sofa for extra guests.  your own bathroom  kitchen.  i stay downstairs and have my own 12 bath but will come up only once a day to use shower.,tv, cable tv ,internet,wifi, air conditioning ,kitchen, paid parking off premises ,elevator, free street parking , buzzerwireless intercom ,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector ,essentials,shampoo, lock on bedroom door , 24hour checkin ,hangers, hair dryer ,iron, translation missing en.hostingamenity50 , private entrance , hot water ,other.",146,0.149413152148882,0.161083286284031,"doc20",18,14,10,4,4,7,0,61,3,2,11,0,36,0,0,13,1
"New York",13992574,FALSE,2013-12-18,11,TRUE,FALSE,"Upper West Side",TRUE,"Apartment","Entire home/apt",6,1,2,2,"Real Bed",350,1,0,30,1125,TRUE,38,81,7,"strict_14_with_grace_period",2.58,65877818,"gorgeous upper west side getaway! located in one of the best spots of the upper west side.  stay in this lovely 2 bedrooms unit that comfortably sleeps 6.  features wireless internet,  cable tv,  standard kitchen appliances,  and hardwood floors provide all the comforts of home.  1 block from central park.  features  private balcony  standard kitchen with all utensils needed  flat screen tv with basic cable package channels in living room  flat screen tv with basic cable package channels in master bedroom  wireless internet available 1 kingsize bed 1 queensize bed 1 couch,  2 air mattresses  dining table  hardwood floors  air conditioned and heated  linens and towels provided free of charge building amenities  doormanattended lobby 247  3 passenger elevators and 1 freight elevator  onsite laundry parking  street parking available  garage around the building.  additional charges applicable.  guest need to inquire directly with the garage i give my guests,tv, cable tv ,wifi, air conditioning ,kitchen, paid parking off premises ,gym,elevator, free street parking ,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector ,essentials, lock on bedroom door ,hangers, hair dryer ,iron,bathtub,crib,microwave, coffee maker ,refrigerator,dishwasher, dishes and silverware , cooking basics ,oven,stove, patio or balcony , long term stays allowed , host greets you .",196,0.265861454459161,0.255043367128222,"doc21",27,15,2,1,6,8,0,112,11,1,4,0,45,1,0,18,0
"Queens",4772217,TRUE,2014-11-10,4,TRUE,TRUE,"East Elmhurst",TRUE,"House","Private room",2,1,1,1,"Real Bed",75,2,0,1,1125,TRUE,422,95,9,"strict_14_with_grace_period",9.41,25466516,"30 to 60 minutes to manhattan depending on where you are going! spacious large bed,  always fresh and clean full kitchen,  free coffee and tea easy combination locks to enter! high speed internet 5 star rating no fees you will love your stay!! no security deposit no cleaning fees no extra charges great location 30 to 60 minutes to manhattan depending on where youre going! blocks away from lga airport walking distance,  short bus or taxi ride to jfk airport,  short public transportation ride to nyc.  car rental and free street parking near excellent reviews! about the space you will have your own private key to your room as well as to the front door.   the room,  kitchen,  and restroom are always kept clean and organized.  guests have unlimited access to cook and use the facilities,  as well as high speed internet  airports and city are conveniently accessed by a short car or public transportation ride.  the space provides high speed wifi,   refrigerator,  free coffee,  free tea,  microwave,  f,internet,wifi, air conditioning ,kitchen,heating, smoke detector , carbon monoxide detector , first aid kit , fire extinguisher ,essentials,shampoo, lock on bedroom door ,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity49 , translation missing en.hostingamenity50 , self checkin ,keypad.",204,0.355545367872815,0.192005760003886,"doc22",31,11,10,6,9,10,0,89,7,6,8,0,40,2,0,20,0
"New York",7679771,TRUE,2015-11-09,1,TRUE,TRUE,"Alphabet City",TRUE,"Apartment","Private room",2,1,1,1,"Real Bed",90,1,20,2,1125,TRUE,158,99,10,"strict_14_with_grace_period",4.22,65877818,"private bedroom in an incredible,  one of a kind,  beautifully furnished east villageles 2 bedroom apartment.   the room is freshly painted with brand new furniture,  mattress and bedding.   it features a full size american bed and large closet.   i supply all bed sheets and bathroom towels.  this is a fantastic apartment that is located in a small building with only 3 other apartments.   the apartment is only 2 short stair flights up and is the only one on its floor.   this location straddles the demarcation line between the east village and lower east side with dozens of options for food,  entertainment,  art,  live music,  sight seeing and taking in all that this vibrant city has to offer.   every conceivable amenity is within a 10 minute walk in either direction.  houston street is a major thoroughfare where cabs and buses can be easily and quickly caught at any time of the day or night.   its less than a 10 minute walk to the f,  j,  m  z trains that can take you directly to or transfer you to a,wifi, air conditioning , paid parking off premises , free street parking ,heating, familykid friendly , smoke detector , carbon monoxide detector , first aid kit , fire extinguisher ,essentials,shampoo, lock on bedroom door ,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity50 , hot water , bed linens , extra pillows and blankets ,microwave, coffee maker ,refrigerator, dishes and silverware , stepfree access , wide doorway , accessibleheight bed , stepfree access , wide doorway , accessibleheight toilet , stepfree access , wide entryway .",244,0.20158031526952,0.249059081785667,"doc23",31,20,11,11,12,22,0,104,7,2,9,4,52,1,0,16,0
